Listing ID,Listing name,Final URL,Image URL,City name,Description,Price,Property type,Listing type,Contextual keywords,Address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price
38024,"Apartamento à venda com 3 quartos no CAMPOS ELÍSEOS, RIBEIRÃO PRETO - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/apartamentos/ribeirao-preto/campos-eliseos/38024,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/38024/fefa5f670f16ada7e9f00421a75af892AT.jpg,RIBEIRÃO PRETO,Apartamento - 3 quartos - Campos Elíseos - 95m² - Ribeirão Preto,550000 BRL,apartment,rent,apartamento;locação;3 quartos;campos elíseos;ribeirão preto,"CAMPOS ELÍSEOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 550.000/mês
32320,"Salão Comercial para alugar, 160m² - no Jardim Nova Aliança - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/nova-alianca-sul/32320,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32320/1694551790471AT.jpg,RIBEIRÃO PRETO,Comercial - Nova Aliança Sul - 160m² - Ribeirão Preto,11000 BRL,commercial,rent,comercial;locação;nova aliança sul;ribeirão preto,"Nova Aliança Sul, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 11.000/mês
32389,"Apartamento com 3 quartos para alugar, 152m² - Nova Aliança - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/nova-alianca/32389,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32389/191b17230ddd300a01d55cfb9f0b010cAT.jpg,RIBEIRÃO PRETO,Apartamento - 3 quartos - Nova Aliança - 152m² - Ribeirão Preto,5600 BRL,apartment,rent,apartamento;locação;3 quartos;nova aliança;ribeirão preto,"Nova Aliança, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 5.600/mês
32582,"Sala Comercial para alugar, 21m² - Centro - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/centro/32582,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32582/1694552520583AT.jpg,RIBEIRÃO PRETO,Comercial - Centro - 21m² - Ribeirão Preto,900 BRL,commercial,rent,comercial;locação;centro;ribeirão preto,"Centro, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 900/mês
41036,"Salão comercial para alugar, 198m² - Parque das Andorinhas - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/comercial/ribeirao-preto/parque-das-andorinhas/41036,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/41036/92f7a39e4857861f587312d1e880d9ceAT.jpg,RIBEIRÃO PRETO,Comercial - Parque Das Andorinhas - 198m² - Ribeirão Preto,1100000 BRL,commercial,rent,comercial;locação;parque das andorinhas;ribeirão preto,"PARQUE DAS ANDORINHAS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.100.000/mês
32647,"Apartamento com 4 quartos para alugar, 336m² - Jardim Irajá - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/jardim-iraja/32647,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32647/1d1ce412b0669a29e215a12949882d63AT.jpg,RIBEIRÃO PRETO,Apartamento - 4 quartos - Jardim Irajá - 336m² - Ribeirão Preto,9000 BRL,apartment,rent,apartamento;locação;4 quartos;jardim irajá;ribeirão preto,"JARDIM IRAJÁ, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 9.000/mês
40963,"Casa de Condomínio com 4 quartos à venda, 410 m² - Jardim Botânico - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/jardim-sao-luiz/40963,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/40963/e4a46a6ac91b0eb39677e388073f5a6aAT.jpg,RIBEIRÃO PRETO,Casa - 4 quartos - Jardim São Luiz - 410m² - Ribeirão Preto,3600000 BRL,house,rent,casa;locação;4 quartos;jardim são luiz;ribeirão preto,"JARDIM SÃO LUIZ, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 3.600.000/mês
39017,"Casa Residencial para alugar, 134m² - Campos Elíseos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/campos-eliseos/39017,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39017/52bdf4e6a2a8b110e558986bdd42947dAT.jpg,RIBEIRÃO PRETO,Casa - 3 quartos - Campos Elíseos - 134m² - Ribeirão Preto,290000 BRL,house,rent,casa;locação;3 quartos;campos elíseos;ribeirão preto,"CAMPOS ELÍSEOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 290.000/mês
41034,"Casa com 3 quartos para alugar, 138m²- Presidente Médici - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/presidente-medici/41034,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/41034/557c011c760995763a3cd02d89ba1fb6AT.jpg,RIBEIRÃO PRETO,Casa - 3 quartos - Presidente Médici - 138m² - Ribeirão Preto,370000 BRL,house,rent,casa;locação;3 quartos;presidente médici;ribeirão preto,"PRESIDENTE MÉDICI, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 370.000/mês
32677,"Apartamento Flat Mobiliado para alugar, 53m² - Alto da Boa Vista - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/alto-da-boa-vista/32677,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32677/20a6821e3b358a4f0739ecc1990e497cAT.jpg,RIBEIRÃO PRETO,Apartamento - 1 quartos - Alto Da Boa Vista - 53m² - Ribeirão Preto,3500 BRL,apartment,rent,apartamento;locação;1 quartos;alto da boa vista;ribeirão preto,"ALTO DA BOA VISTA, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 3.500/mês
